496 6 1    
-79 -87 -84 -100 -100 -100 1
-82 -87 -83 -100 -100 -100 1
-77 -84 -79 -100 -100 -100 1
-71 -85 -80 -100 -100 -100 1
-83 -85 -83 -100 -100 -100 1
-77 -87 -89 -100 -100 -100 1
-76 -86 -83 -100 -100 -100 1
-71 -88 -87 -100 -100 -100 1
-76 -87 -79 -100 -100 -100 1
-81 -85 -83 -100 -100 -100 1
-78 -86 -83 -100 -100 -100 1
-85 -86 -86 -100 -100 -100 1
-74 -89 -82 -100 -100 -100 1
-77 -88 -86 -100 -100 -100 1
-83 -89 -86 -100 -100 -100 1
-84 -89 -90 -100 -100 -100 1
-71 -82 -84 -100 -100 -100 1
-75 -85 -83 -100 -100 -100 1
-75 -88 -77 -100 -100 -100 1
-75 -82 -77 -100 -100 -100 1
-74 -85 -79 -100 -100 -100 1
-72 -87 -83 -100 -100 -100 1
-81 -86 -83 -100 -100 -100 1
-67 -80 -79 -100 -100 -100 1
-77 -86 -81 -100 -100 -100 1
-78 -86 -81 -100 -100 -100 1
-78 -88 -85 -100 -100 -100 1
-73 -79 -79 -100 -100 -100 1
-83 -89 -81 -100 -100 -100 1
-82 -90 -81 -100 -100 -100 1
-82 -90 -80 -100 -100 -100 1
-81 -87 -81 -100 -100 -100 1
-78 -81 -83 -100 -100 -100 1
-68 -85 -86 -100 -100 -100 1
-76 -78 -70 -100 -100 -100 1
-65 -82 -70 -100 -100 -100 1
-68 -80 -78 -100 -100 -100 1
-70 -82 -84 -100 -100 -100 1
-76 -77 -68 -100 -100 -100 1
-75 -84 -68 -100 -100 -100 1
-73 -86 -80 -100 -100 -100 1
-68 -88 -78 -100 -100 -100 1
-77 -85 -76 -100 -100 -100 1
-72 -85 -63 -100 -100 -100 1
-74 -82 -75 -100 -100 -100 1
-77 -74 -75 -100 -100 -100 1
-81 -79 -60 -100 -100 -100 1
-84 -79 -70 -100 -100 -100 1
-77 -77 -66 -100 -100 -100 1
-73 -82 -68 -100 -100 -100 1
-76 -77 -60 -100 -100 -100 1
-81 -82 -65 -100 -100 -100 1
-68 -80 -74 -100 -100 -100 1
-62 -84 -74 -100 -100 -100 1
-70 -75 -70 -100 -100 -100 1
-72 -80 -69 -100 -100 -100 1
-69 -82 -68 -100 -100 -100 1
-70 -83 -68 -100 -100 -100 1
-73 -81 -76 -100 -100 -100 1
-80 -81 -74 -100 -100 -100 1
-75 -81 -78 -100 -100 -100 1
-74 -81 -78 -100 -100 -100 1
-76 -77 -63 -100 -100 -100 1
-78 -76 -78 -100 -100 -100 1
-78 -76 -78 -100 -100 -100 1
-75 -77 -71 -100 -100 -100 1
-72 -74 -62 -100 -100 -100 1
-78 -72 -67 -100 -100 -100 1
-82 -77 -72 -100 -100 -100 1
-84 -78 -70 -100 -100 -100 1
-77 -77 -66 -100 -100 -100 1
-77 -79 -63 -100 -100 -100 1
-66 -81 -76 -100 -100 -100 1
-70 -79 -76 -100 -100 -100 1
-73 -87 -85 -100 -100 -100 1
-77 -82 -85 -100 -100 -100 1
-70 -73 -75 -100 -100 -100 1
-76 -81 -80 -100 -100 -100 1
-79 -74 -76 -100 -100 -100 1
-73 -81 -76 -100 -100 -100 1
-67 -77 -69 -100 -100 -100 1
-78 -77 -69 -100 -100 -100 1
-85 -78 -76 -100 -100 -100 1
-84 -80 -76 -100 -100 -100 1
-83 -77 -77 -100 -100 -100 1
-84 -80 -70 -100 -100 -100 1
-79 -71 -90 -100 -100 -100 1
-80 -74 -90 -100 -100 -100 1
-79 -74 -81 -100 -100 -100 1
-82 -76 -73 -100 -100 -100 1
-78 -73 -68 -100 -100 -100 1
-86 -68 -70 -100 -100 -100 1
-73 -84 -81 -100 -100 -100 1
-72 -84 -81 -100 -100 -100 1
-72 -72 -71 -100 -100 -100 1
-75 -81 -75 -100 -100 -100 1
-71 -79 -90 -100 -100 -100 1
-73 -81 -72 -100 -100 -100 1
-75 -78 -72 -100 -100 -100 1
-72 -82 -69 -100 -100 -100 1
-74 -75 -86 -100 -100 -100 1
-76 -84 -87 -100 -100 -100 1
-76 -84 -87 -100 -100 -100 1
-74 -85 -86 -100 -100 -100 1
-69 -76 -77 -100 -100 -100 1
-68 -80 -78 -100 -100 -100 1
-61 -77 -74 -100 -100 -100 1
-64 -80 -78 -100 -100 -100 1
-69 -78 -73 -100 -100 -100 1
-64 -72 -77 -100 -100 -100 1
-68 -73 -85 -100 -100 -100 1
-65 -78 -88 -100 -100 -100 1
-62 -75 -74 -100 -100 -100 1
-65 -75 -79 -100 -100 -100 1
-67 -79 -85 -100 -100 -100 1
-71 -87 -88 -100 -100 -100 1
-68 -80 -89 -100 -100 -100 1
-72 -85 -89 -100 -100 -100 1
-74 -77 -70 -100 -100 -100 1
-77 -83 -81 -100 -100 -100 1
-66 -76 -79 -100 -100 -100 1
-79 -82 -71 -100 -100 -100 1
-72 -75 -71 -100 -100 -100 1
-73 -74 -79 -100 -100 -100 1
-76 -78 -92 -100 -100 -100 1
-78 -77 -92 -100 -100 -100 1
-84 -72 -78 -100 -100 -100 1
-80 -76 -78 -100 -100 -100 1
-81 -81 -89 -100 -100 -100 1
-79 -80 -89 -100 -100 -100 1
-79 -73 -90 -100 -100 -100 1
-79 -80 -89 -100 -100 -100 1
-88 -66 -82 -100 -100 -100 1
-85 -68 -82 -100 -100 -100 1
-89 -58 -79 -100 -100 -100 1
-88 -66 -79 -100 -100 -100 1
-86 -68 -81 -100 -100 -100 1
-85 -70 -75 -100 -100 -100 1
-86 -60 -78 -100 -100 -100 1
-83 -66 -77 -100 -100 -100 1
-73 -80 -80 -100 -100 -100 1
-75 -85 -80 -100 -100 -100 1
-73 -76 -86 -100 -100 -100 1
-82 -81 -86 -100 -100 -100 1
-79 -85 -80 -100 -100 -100 1
-80 -86 -80 -100 -100 -100 1
